,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
476,Spiced Peach Punch,13032,Punch / Party Drink,Collins Glass,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",Peach nectar,46 oz ,Orange juice,20 oz ,Brown sugar,1/2 cup ,Cinnamon,3 3-inch ,Cloves,1/2 tsp ,Lime juice,2 tblsp ,, ,, ,, ,, ,, ,,,,,,,,
477,Spiking coffee,12780,Coffee / Tea,Coffee mug,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",Coffee,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,
478,Spritz,17215,Ordinary Drink,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",Prosecco,6 cl,Campari,4 cl,Soda Water,splash,,,,,, ,, ,,,,,,,,,,,,,,,,
479,Stinger,17193,Ordinary Drink,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",Brandy,1 1/2 oz ,White Creme de Menthe,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
480,Stone Sour,12308,Ordinary Drink,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",Apricot brandy,1 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
481,Strawberry Daiquiri,12316,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Strawberry schnapps,1/2 oz ,Light rum,1 oz ,Lime juice,1 oz ,Powdered sugar,1 tsp ,Strawberries,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
482,Strawberry Lemonade,13036,Punch / Party Drink,Collins Glass,Throw everything into a blender and mix until fairly smooth. Serve over ice.,Lemon,Juice of 1 ,Sugar,1 tblsp ,Strawberries,8-10 ripe ,Water,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,
483,Strawberry Margarita,12322,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve.",Strawberry schnapps,1/2 oz ,Tequila,1 oz ,Triple sec,1/2 oz ,Lemon juice,1 oz ,Strawberries,1 oz ,Salt,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
484,Strawberry Shivers,12722,Other/Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Strawberries,1 1/2 cup ,Honey,4 tsp ,Water,1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
485,Sunny Holiday Punch,13042,Punch / Party Drink,Punch bowl,Combine all ingredients in a punch bowl.,Pineapple juice,46 oz chilled ,Club soda,28 oz ,Orange juice,6 oz frozen ,Lemon,1 ,Berries,2 cups ,Champagne,1 bottle ,, ,, ,, ,, ,, ,,,,,,,,
486,Surf City Lifesaver,12760,Ordinary Drink,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.,Ouzo,1 part ,Bailey's irish cream,1 part ,Gin,2 parts ,Grand Marnier,1/2 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
487,Swedish Coffee,15521,Coffee / Tea,Coffee Mug,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),Coffee,1 cup,Aquavit,4 cl ,Sugar,By taste ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
488,Sweet Bananas,12724,Milk / Float / Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Milk,2 cups ,Banana,1 ,Honey,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
489,Sweet Sangria,13024,Punch / Party Drink,Pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",Red wine,2 bottles ,Sugar,1 cup ,Water,2 cups hot ,Apple,1 cup ,Orange," wedges
",Lime," wedges
",Lemon,"
",Fresca,"
",,"
",,"
",,"
",,"
",,,,,,
490,Sweet Tooth,16990,Milk / Float / Shake,Highball Glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",Godiva liqueur,2 shots ,Milk,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
491,Talos Coffee,14860,Coffee / Tea,Brandy snifter,Add your GM and then add your coffee.,Grand Marnier,3 parts ,Coffee,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
492,Tennesee Mud,15515,Coffee / Tea,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",Coffee,8 oz ,Jack Daniels,4 oz ,Amaretto,4 oz ,Whipped cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,
493,Tequila Fizz,12362,Ordinary Drink,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",Tequila,2 oz ,Lemon juice,1 tblsp ,Grenadine,3/4 oz ,Egg white,1 ,Ginger ale,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
494,Tequila Sour,12370,Ordinary Drink,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",Tequila,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Lemon,1/2 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
495,Tequila Sunrise,13621,Cocktail,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",Tequila,2 measures ,Orange juice,,Grenadine,,,,,,,,,,,,,,,,,,,,,,,,,
496,Tequila Surprise,14602,Shot,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,Tequila,full glass ,Tabasco sauce,About 8 drops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
497,Texas Rattlesnake,15178,Shot,Highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",Yukon Jack,1 part ,Cherry brandy,1/2 part ,Southern Comfort,1 part ,Sweet and sour,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,
498,Texas Sling,15639,Milk / Float / Shake,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",Kahlua,1/2 oz ,Irish cream,1/2 oz ,Amaretto,1/2 oz ,151 proof rum,1/2 oz Bacardi ,Cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
499,Thai Coffee,12782,Coffee / Tea,Highball glass,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",Coffee,6 tblsp ground,Coriander,1/4 tsp ,Cardamom,4-5 whole green ,Sugar,,Whipping cream,,Ice,,,,,,,,,,,,,,,,,,,
500,Thai Iced Coffee,12784,Coffee / Tea,Highball glass,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",Coffee,black,Sugar,"
",Cream," pods
",Cardamom,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
501,Thai Iced Tea,12786,Coffee / Tea,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",Tea,1/4 cup Thai ,Water,1/2 cup boiling ,Condensed milk,2 tsp sweetened ,Ice," cubes
",Mint, ,, ,, ,, ,, ,,,,,,,,,,,,
502,The Evil Blue Thing,16271,Cocktail,Old-fashioned glass,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",Creme de Cacao,1 1/2 oz ,Blue Curacao,1 oz ,Light rum,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
503,Thriller,12388,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Scotch,1 1/2 oz ,Wine,1 oz Green Ginger ,Orange juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
504,Tia-Maria,12856,Homemade Liqueur,Collins Glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",Water,1 cup ,Brown sugar,3/4-1 cup ,Coffee,4 tsp ,Rum,1 cup ,Vanilla extract,4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,
505,Tom Collins,12402,Ordinary Drink,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",Gin,2 oz ,Lemon juice,1 oz ,Sugar,1 tsp superfine ,Club soda,3 oz ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
506,Tomato Tang,12726,Other/Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Tomato juice,2 cups ,Lemon juice,1-2 tblsp ,Celery salt,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
507,Tommy's Margarita,17216,Ordinary Drink,Old-Fashioned glass,Shake and strain into a chilled cocktail glass.,Tequila,4.5 cl,Lime Juice,1.5 cl,Agave syrup,2 spoons,,,,,, ,, ,,,,,,,,,,,,,,,,
508,Turf Cocktail,12418,Ordinary Drink,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,Dry Vermouth,1 oz ,Gin,1 oz ,Anis,1/4 tsp ,Bitters,2 dashes ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
509,Turkeyball,15006,Shot,Shot glass,Shake with ice and strain into a shot glass.,Wild Turkey,1 oz ,Amaretto,3/4 oz ,Pineapple juice,1 splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
510,Tuxedo Cocktail,12420,Ordinary Drink,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,Dry Vermouth,1 1/2 oz ,Gin,1 1/2 oz ,Maraschino liqueur,1/4 tsp ,Anis,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
511,Valencia Cocktail,12434,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Apricot brandy,1 1/2 oz ,Orange juice,1 tblsp ,Orange bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
